Day,Month,time order,Y07,Y08,Y09
2,9,1,0,0,0
3,9,2,0,0,0
4,9,3,0,0,0
5,9,4,0,0,0
6,9,5,1,0,0
7,9,6,0,9,0
8,9,7,0,1,0
9,9,8,7,0,0
10,9,9,0,0,0
11,9,10,6,0,1
12,9,11,3,0,3
13,9,12,0,0,3
14,9,13,0,0,0
15,9,14,6,5,4
16,9,15,2,0,5
17,9,16,0,6,0
18,9,17,0,0,0
19,9,18,53,0,1
20,9,19,0,12,17
21,9,20,3,25,8
22,9,21,0,5,3
23,9,22,0,5,1
24,9,23,49,5,0
25,9,24,7,1,0
26,9,25,15,0,1
27,9,26,0,9,2
28,9,27,2,16,3
29,9,28,16,0,0
30,9,29,4,44,19
1,10,30,58,27,1
2,10,31,2,0,25
3,10,32,1,0,1
4,10,33,0,0,4
5,10,34,1,4,0
6,10,35,0,4,0
7,10,36,10,0,21
8,10,37,2,37,0
9,10,38,4,2,39
10,10,39,0,0,2
11,10,40,10,1,8
12,10,41,13,0,2
13,10,42,0,17,0
14,10,43,3,5,1
15,10,44,0,5,6
16,10,45,0,8,6
17,10,46,0,0,0
18,10,47,2,0,4
19,10,48,21,1,0
20,10,49,11,14,9
21,10,50,1,26,9
22,10,51,0,0,5
23,10,52,2,0,0
24,10,53,0,1,0
25,10,54,0,0,0
26,10,55,0,5,0
27,10,56,2,0,0
28,10,57,0,27,0
29,10,58,0,7,2
30,10,59,0,15,1
31,10,60,0,0,0
1,11,61,4,0,0
2,11,62,0,0,0
3,11,63,0,2,0
4,11,64,0,0,0
5,11,65,2,0,0
6,11,66,0,10,0
7,11,67,0,0,0
8,11,68,0,0,0
9,11,69,0,0,0
10,11,70,0,0,0
11,11,71,0,0,0
